,precision,recall,f1,accuracy,time_ms_per_sample
MyModel (BERT-ft),0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9821428571428571,26.176150356020248
TFIDF + SVM,1.0,0.7333333333333333,0.8461538461538461,0.9642857142857143,0.0
Zero-shot BERT,0.17391304347826086,0.26666666666666666,0.21052631578947367,0.7321428571428571,13.431199959346227
